customer_id,first_name,last_name,email,phone,city,state,zip_code,loyalty_tier,loyalty_points,joined_date,is_active,acquisition_channel,referral_code,marketing_opt_in,account_status_code,last_login_at
CUST-42f46403-54bf-471e-8a4c-c142abaae57d,Matthew,Pena,patriciawashington@example.net,(896)446-7256,West Kaylaborough,OR,56976,gold,10687,2026-03-26,True,email_campaign,,True,D003,2026-04-02T13:21:13.994463Z
CUST-5b5deaae-2d62-4a36-a8bd-b79c2de87144,Bruce,Lutz,billystewart@example.net,6658773057,New Debbie,SD,28575,silver,11326,2025-09-29,True,referral,,True,D003,2026-01-30T03:03:26.134266Z
CUST-b8f379ec-f54f-4458-ab94-e75a5d211c3b,Danielle,Rodriguez,mariahwest@example.org,(477)718-0901x7701,Christinefurt,OR,03118,bronze,7456,2022-04-28,True,email_campaign,,False,A001,2026-02-21T17:17:55.726328Z
CUST-2f1cfbf1-8396-40c5-9e05-01e80494f517,Tyler,Pope,malvarez@example.net,(988)442-7248,West Brandon,VA,63066,bronze,2285,2022-09-15,True,paid_search,,True,S002,2026-03-19T11:33:20.160418Z
CUST-4767b9b3-7f66-42cc-8a5b-d66644499f38,Zachary,Cervantes,bcole@example.net,(623)326-3337x64146,South Nathaniel,DC,63011,platinum,10114,2021-04-29,True,paid_search,,False,A001,2026-02-22T16:32:03.178493Z
CUST-25b70701-38bc-4b6c-a958-1502d71b8077,Jennifer,Torres,webersamuel@example.com,001-283-851-2273x3538,North Becky,NV,38178,bronze,3824,2021-06-27,True,referral,,True,D003,2026-04-09T12:09:47.251714Z
CUST-247f9690-69ef-4280-af32-1cf95f626b7b,April,Torres,andersontiffany@example.net,001-833-837-8120x57316,New Jimmychester,WY,12823,bronze,5500,2024-03-02,True,paid_search,,True,A001,2026-04-18T06:08:01.579291Z
CUST-9cc3ce0b-62bb-480b-afcb-31ed091c7d0c,Hannah,Perez,brandon48@example.net,621.955.8789,Port Alexanderstad,VI,43507,silver,6184,2024-10-26,True,social,,True,S002,2026-03-13T20:18:38.011682Z
CUST-042f663c-a232-4643-896d-5268adf0b95f,Jennifer,James,wspencer@example.com,(210)392-1845,New Dawn,MN,68047,bronze,6752,2024-05-06,True,email_campaign,,False,S002,2026-02-14T01:44:46.428241Z
CUST-408121fc-8d42-4a71-8ccd-2230d3a75434,Mark,Martinez,allen04@example.com,+1-901-920-3465x8644,Angelatown,KS,38514,bronze,8639,2025-03-07,True,email_campaign,REF-1156,True,A001,2026-04-20T07:31:51.740363Z
CUST-92f84221-4247-45fa-82d0-5b7ee7159b7d,Brett,Byrd,ohernandez@example.com,361-786-8181,South Kelli,PA,34728,bronze,7363,2025-10-14,True,email_campaign,,True,A001,2026-03-17T02:42:18.803926Z
CUST-94526da9-52a5-4c98-b59e-8c0a2da6223f,Sarah,Taylor,burchdeanna@example.org,(563)470-5942x8423,South Sharonburgh,ME,81510,gold,8321,2025-02-27,True,email_campaign,REF-7865,False,A001,2026-03-17T00:02:44.865966Z
CUST-fa1a1fa2-20d9-4bab-a743-49a3ae460d01,Danielle,Edwards,aochoa@example.com,+1-875-760-6990x504,Matthewmouth,VT,86988,bronze,8563,2021-06-05,True,paid_search,,False,A001,2026-04-08T09:54:21.197060Z
CUST-01e8067b-12a1-41f8-aa2d-cd313e9d3771,Dalton,Newton,xanderson@example.com,(645)772-0742x871,Ianburgh,SC,81046,bronze,3851,2024-03-19,True,email_campaign,REF-0424,False,S002,2026-04-26T10:32:08.367496Z
CUST-3a19da18-ade5-4f66-8ab7-a1441330cb1e,Rebecca,Allen,monicasawyer@example.net,801-234-5193x1310,North Loganborough,NC,60919,gold,5165,2023-09-04,True,email_campaign,,False,A001,2026-04-03T00:38:02.060899Z
CUST-d4cd2828-ecc3-4ce6-a8f8-5aefc1f3d35f,Clarence,Terry,sextonlisa@example.org,473-421-9300,West Courtney,KS,80646,bronze,878,2025-02-08,True,social,,True,D003,2026-02-08T05:10:57.781383Z
CUST-1a238edf-6e78-4139-af67-374ce5aa44aa,Amy,Jensen,jasoncruz@example.net,600.702.3389x00169,Hudsonland,AR,52040,bronze,4083,2024-10-09,True,referral,,True,A001,2026-04-06T07:17:18.684346Z
CUST-cce16e76-6a3e-4960-b1ab-4ead369ae08f,Laura,Gonzalez,gloriagray@example.net,001-919-297-6442x5568,Nicoleberg,NE,47474,silver,65,2026-01-11,True,email_campaign,,True,A001,2026-04-21T16:28:53.875447Z
CUST-ff62ef64-ae69-4b62-89fa-2554f5475bfe,Karen,Riley,kreese@example.net,(508)559-0012x6544,Douglasfort,NV,94816,silver,10726,2026-02-16,True,organic,REF-6460,True,S002,2026-02-23T12:35:07.309302Z
CUST-d0403bb6-f320-4189-abf0-77b4af48071d,Kelli,Fuller,samuel95@example.com,+1-279-532-5871x22482,East Victoria,HI,78919,bronze,1988,2024-02-21,True,paid_search,,True,D003,2026-04-11T19:50:31.374296Z
CUST-39e46d90-e3d5-415a-91d3-39830ab207b3,Rachael,Molina,michellemullen@example.net,001-594-276-3653x66654,North Stephanieshire,NE,11770,silver,7055,2023-06-26,False,email_campaign,,False,D003,2026-03-05T03:08:41.560347Z
CUST-007c9a2e-48a1-4ff1-9952-94f06c8acc8c,Amanda,Rodriguez,cynthiaramirez@example.net,779-676-1026x324,North Jason,NE,09656,bronze,925,2021-07-18,True,referral,,True,S002,2026-02-05T09:51:51.778997Z
CUST-1737eddf-32b9-4f37-88ca-99d06f0458b4,Kimberly,Watson,brenda49@example.net,+1-799-554-0607x857,Alyssaport,NH,65924,gold,8353,2023-09-07,True,social,,True,A001,2026-03-10T16:30:25.267954Z
CUST-42a66839-caa7-4aad-9e60-15db689dbf71,Mark,Gutierrez,joan71@example.org,001-867-266-9580x866,Morrisberg,UT,98679,gold,7291,2022-05-16,True,organic,REF-1303,True,A001,2026-02-14T03:04:41.179525Z
CUST-50a08a91-1958-4d31-a28a-f4dc9637abd0,Jennifer,Leonard,erikflynn@example.net,246.872.9496x16197,Lake Stephenborough,PW,82244,bronze,3520,2024-04-14,True,referral,,False,S002,2026-03-25T05:35:09.666363Z
CUST-5c5bedda-59d7-4f4c-91eb-8d1452f69283,Tony,Wyatt,cheryl23@example.org,001-669-495-9249x6559,New Jayfort,OK,41171,silver,898,2023-09-03,True,paid_search,REF-0087,True,D003,2026-03-18T14:35:03.397927Z
CUST-d3f5fd06-c7b5-450b-b9d7-02b77561a021,Joseph,Butler,pbryan@example.org,390-804-1259,East Michele,MP,09590,bronze,2116,2026-01-13,True,referral,,True,S002,2026-04-01T06:54:13.352183Z
CUST-3ef83eb1-c1ff-4ece-9008-18500d763a7e,Mariah,Sullivan,ddecker@example.net,(328)385-7055,Port Erinburgh,MT,05611,bronze,3155,2023-03-28,True,organic,,True,A001,2026-02-10T15:52:36.294523Z
CUST-61d9c058-076f-4a72-bb74-9608f1387f32,Michael,Smith,stephen35@example.net,(469)347-4984x45181,Ramoschester,KY,75766,silver,6234,2024-12-07,True,organic,,False,S002,2026-03-16T12:37:43.056779Z
CUST-ce80e00b-7583-4dca-aa7a-847abd74b484,Ernest,Robinson,jessicacowan@example.com,(959)891-9244x89939,Matthewton,KS,61111,bronze,11627,2023-05-02,True,email_campaign,REF-2256,False,A001,2026-04-05T21:58:29.574087Z
CUST-daf4dd0a-70eb-4bd1-9b5f-905151a9ce65,Cassidy,Clark,shaneschneider@example.net,001-455-366-9895x63680,Brianhaven,MO,99867,silver,5794,2022-01-13,True,email_campaign,,True,A001,2026-04-25T21:16:36.022225Z
CUST-ec30e6c9-484a-4f5c-a32f-ac4acf44551a,Ian,Zamora,rachel52@example.org,496.728.7061,Powellfurt,NJ,70195,gold,583,2024-03-23,True,paid_search,,False,S002,2026-03-25T00:02:34.053391Z
CUST-7fc6cb7b-32ca-4f5c-9bcf-d545ff18ebf2,Oscar,Henry,ashley75@example.net,5952613716,Jacquelineview,MH,30835,silver,8803,2022-10-14,True,referral,,True,S002,2026-03-28T01:41:32.434664Z
CUST-1c6e41e9-ab3b-43a6-8ba4-e5344fe8f11e,Richard,Mcdonald,martinmorgan@example.net,223-983-2872,West Jamiemouth,WY,11982,bronze,363,2025-09-21,True,organic,,True,D003,2026-02-25T19:37:16.142089Z
CUST-04b730c0-a251-4564-aa67-6212067c3302,Elizabeth,Gilbert,dyu@example.org,287.706.1514x0666,South Ryantown,PW,24622,bronze,4513,2022-12-09,True,referral,,True,A001,2026-04-16T14:27:07.792387Z
CUST-d0e40147-67d0-4a91-9971-c6db6ecbdf86,Justin,Stark,xyoung@example.org,(778)380-7226,Pricefurt,DE,98873,bronze,7987,2026-03-09,True,organic,,False,A001,2026-03-19T13:27:41.094643Z
CUST-be75c6f8-3da7-4350-951e-0b446a8fc0d8,Stephanie,Pierce,kmalone@example.com,556.278.1002x2314,Josephville,VI,26327,bronze,11019,2025-08-04,True,organic,REF-9906,False,S002,2026-03-26T13:56:10.653898Z
CUST-bc1410cb-72da-4419-94b9-7571d74acfbc,Linda,Howard,kellyduran@example.com,001-351-962-6874,Lake Charlottefort,UT,10177,bronze,8764,2024-06-03,False,social,,True,A001,2026-02-12T07:36:56.894422Z
CUST-701630de-2206-4d61-8ac3-28b0d525910b,Monica,Elliott,ehood@example.org,001-547-281-4738x936,Richardsonshire,RI,96885,gold,6523,2022-01-10,True,organic,,False,A001,2026-04-26T23:18:40.280300Z
CUST-c0dc42b8-45c0-4689-987f-c7f749f08a75,Dale,Fleming,josephdavis@example.net,614-442-3568,South Chelseaport,MD,93532,bronze,4464,2024-05-30,True,social,,False,D003,2026-03-03T23:56:16.102826Z
CUST-bcc3bf92-7921-4207-9957-8f7531215ae0,Christina,Fields,jessica48@example.org,(845)539-2290x43073,Toddton,FL,80125,gold,10626,2024-11-20,True,referral,,True,S002,2026-02-08T22:33:33.706261Z
CUST-cbf02587-65af-4143-ae4a-534daa61060d,Rebecca,Miller,angela47@example.net,639-439-0532,East Mollyhaven,TN,13116,platinum,626,2024-03-19,True,paid_search,REF-1468,True,A001,2026-03-04T21:12:09.050257Z
CUST-0b411ae0-e86b-4171-b248-592fe32caaee,David,Williams,robertwilson@example.org,001-733-329-7347x233,Taylorborough,WA,38274,platinum,3982,2026-02-18,True,referral,,False,S002,2026-03-01T10:04:39.876604Z
CUST-20ad68b3-0d0e-49dc-a5b1-27e6de7062f4,Donald,Griffin,jessicagomez@example.net,592.874.1899x049,New Edward,AL,49865,bronze,8062,2021-05-24,False,organic,,True,A001,2026-02-14T05:48:34.867162Z
CUST-f213b857-1af8-4859-88a4-103af2af6414,Kristin,Brown,fhernandez@example.org,922.985.8146,Joshualand,MD,09451,bronze,1314,2022-09-09,True,email_campaign,,True,A001,2026-03-11T06:31:38.370299Z
CUST-d782bec3-1c0a-4e05-8a16-7dd87cd78c98,Timothy,Anderson,nsullivan@example.com,8766494362,Lake Ryanton,CA,83590,gold,3864,2025-04-29,True,organic,,False,A001,2026-01-28T14:03:11.466016Z
CUST-12e73f2b-3acb-43d3-a81f-4c059dc72a6f,Natalie,Matthews,ashley13@example.org,(960)380-9321,South Robert,PR,60469,silver,9383,2022-04-02,True,social,,False,A001,2026-02-23T04:04:57.328809Z
CUST-7b6d28b3-1844-458e-b892-710f8f042281,David,Burnett,arogers@example.net,+1-489-388-7084x8851,New Jesusshire,IN,98422,bronze,7570,2023-11-03,True,email_campaign,,False,S002,2026-04-19T15:22:57.909177Z
CUST-0be5881b-87b1-40e8-833d-db56cd95f2e5,Andrew,Allen,jessicafloyd@example.org,798-336-6063,South Vickieland,MT,95803,silver,8188,2022-09-24,True,organic,,True,A001,2026-04-06T09:53:56.620921Z
CUST-6fc34231-5e1f-4160-a1cf-16bde82a2fcb,Patrick,Cooper,brandonwhite@example.com,(635)608-2592,Hartshire,AK,61296,silver,10909,2022-04-05,True,organic,REF-3240,False,S002,2026-03-21T22:15:50.204872Z
CUST-a345aef7-62a5-409d-ac0f-c184e9e2fff3,Anthony,Richardson,kelsey80@example.org,001-996-648-3660x791,Debbieborough,AZ,80615,platinum,8198,2024-11-28,True,email_campaign,,True,S002,2026-04-04T22:05:38.829163Z
CUST-ba58ce19-e122-4227-9548-bb34288c5ad9,Brittany,Kane,ryanwood@example.org,763-253-9465x407,Cooleystad,VA,48918,silver,8345,2023-12-31,True,referral,,True,D003,2026-02-05T06:35:24.444556Z
CUST-3c071bed-c890-46e0-9156-4a7811bee123,Chelsea,Schroeder,rileynicholas@example.com,(458)919-8838x395,South Jamesburgh,AS,00643,platinum,1591,2023-01-30,True,email_campaign,,False,A001,2026-04-16T22:52:02.727306Z
CUST-a0079603-04cc-4c45-af45-86df2a68e092,Nicholas,Russo,fhammond@example.org,315.948.0511x069,Port Scott,MP,21525,bronze,331,2024-01-10,True,social,,True,S002,2026-04-03T01:04:54.764412Z
CUST-b78b2653-b626-4395-8a12-d2fd6ecf4752,Stephanie,Mayo,fgreen@example.org,+1-788-361-8873x4914,Singletonside,MD,95544,bronze,1391,2023-05-12,True,paid_search,,True,A001,2026-03-07T03:10:45.189382Z
CUST-909680a3-c485-4138-9e6b-e259502757a7,Michael,Thomas,jonesmichelle@example.com,621.741.2030x44093,East Jessicafurt,PR,83712,platinum,5997,2025-12-11,True,social,REF-2166,True,A001,2026-04-21T23:25:43.198976Z
CUST-20f8890d-c350-4cfb-8dc4-ff361dc09bb7,Jessica,Mckinney,hermandeborah@example.org,912-301-6658,East Melissafurt,DC,62339,bronze,11810,2025-03-25,True,email_campaign,,True,D003,2026-04-04T06:38:57.637090Z
CUST-45c41232-921d-41fb-8c5d-6507f83720a4,Sara,Coleman,kristasullivan@example.com,662-452-8613x603,South Jennifertown,GU,25103,silver,663,2024-05-22,True,paid_search,,False,A001,2026-03-21T04:38:32.401879Z
CUST-81c11a48-2b59-4370-bf18-8c0c483f6f23,Marie,Carroll,thompsontimothy@example.org,+1-281-262-1734,South Cynthia,LA,27985,bronze,1983,2024-08-11,True,social,REF-3468,True,S002,2026-03-20T09:59:49.044874Z
CUST-e5fcf7b9-d767-41aa-a6a4-5b5b8292de20,Erin,Garcia,timothy45@example.net,(635)511-3837x6166,South Kathleen,KY,92309,bronze,2531,2021-09-19,True,organic,,True,D003,2026-03-06T23:15:53.611006Z
CUST-6b0709a5-c941-405b-acbb-a65ba7e51d17,Shane,Johnson,brownpamela@example.net,001-885-425-0499x953,West Lauren,NM,52629,bronze,10995,2026-01-15,True,social,REF-9765,True,S002,2026-02-22T11:20:21.159966Z
CUST-bd46604e-447a-414d-8dff-94189e804112,Larry,Mullins,imoreno@example.net,001-669-566-4277x4395,Marshborough,KY,20026,gold,9274,2023-04-29,True,social,REF-5164,False,A001,2026-02-14T13:56:12.342926Z
CUST-810e84de-7896-4dad-8ff9-3c5fde8effe0,Charles,Holmes,rcooper@example.com,395.892.1574x8315,Clarencemouth,ND,16843,platinum,11198,2021-08-01,True,email_campaign,,False,A001,2026-04-08T21:45:27.445248Z
CUST-aa0ef611-60cc-4075-ab1f-206dbbbe34e1,Rebecca,Davis,zhangmark@example.com,6678409898,Matthewfort,MP,85704,silver,785,2025-10-01,True,organic,REF-1651,True,S002,2026-02-25T10:17:21.004593Z
CUST-7a317ec3-7d7c-45cf-9465-acb25e7839ba,Corey,Camacho,jacksonchristina@example.net,552-207-9293,Lauraton,NM,96534,silver,4995,2022-04-27,True,referral,REF-2375,False,A001,2026-04-09T13:55:54.642998Z
CUST-337ad2f7-1a0f-4bb8-b336-a29006504d17,Michael,Steele,stephen84@example.com,001-696-753-5427x92112,Millerborough,AK,80095,bronze,5302,2024-06-22,True,email_campaign,,False,A001,2026-02-17T09:54:15.432844Z
CUST-21ec0cf5-b928-4f9a-b32a-e3061ebd2070,Teresa,Rich,jadetate@example.net,6667874255,East Curtiston,CO,16242,silver,1606,2021-08-16,True,email_campaign,REF-6683,True,S002,2026-02-17T23:42:37.686279Z
