customer_id,first_name,last_name,email,phone,city,state,zip_code,loyalty_tier,loyalty_points,joined_date,is_active,acquisition_channel,referral_code,marketing_opt_in,account_status_code,last_login_at,preferred_contact_method
CUST-127aa32d-403a-40ff-a927-3e5b19216004,Wesley,Duran,josephjohnson@example.net,001-923-329-0193x256,Port Jose,AK,89147,bronze,6645,2025-09-05,True,referral,,True,S002,2026-04-03T14:28:34.404941Z,sms
CUST-468be525-f5e8-40f1-91bd-f6ab658f37d1,Gina,Short,vbrady@example.net,514.684.1699x167,Molinabury,AK,36250,bronze,9624,2025-09-24,True,social,REF-4039,True,S002,2026-03-21T07:34:45.598718Z,phone
CUST-4f771522-51d5-4f2b-a2bb-e1927327a441,Melissa,Mcintosh,garyedwards@example.org,596-369-0565x1164,Jeffreyhaven,AZ,36081,silver,11785,2025-09-11,True,paid_search,,True,A001,2026-03-01T22:28:46.857890Z,phone
CUST-1f599d28-0663-4258-b182-2c2e86b327a5,Sheryl,Thompson,lruiz@example.org,001-360-974-6322x246,North Kevin,KY,07137,bronze,6807,2025-12-15,True,organic,,True,A001,2026-03-04T23:43:43.559902Z,email
CUST-0ee3376d-ac19-405d-945f-cfa43d517661,Zachary,Rojas,david42@example.org,(729)552-2113x7716,Lake Rebeccastad,WY,61339,silver,477,2024-11-03,True,referral,,True,A001,2026-04-25T05:52:40.897761Z,phone
CUST-a5e280ea-6674-42f8-ae96-205b7a4264b4,George,Carter,jacqueline26@example.org,001-943-484-2795x58567,Port Andrew,GU,44241,platinum,5848,2022-09-19,True,email_campaign,,False,A001,2026-03-28T14:11:55.385390Z,sms
CUST-9bf6d616-ecd1-4054-991b-c33352d58265,Anna,Copeland,christina67@example.com,001-323-515-3422x6242,Johnsonshire,IL,78399,bronze,337,2023-04-20,True,organic,,True,A001,2026-03-19T12:32:50.541058Z,phone
CUST-6fac97b1-dfac-4033-8f07-7795c6aa4919,Carolyn,Ramirez,bcaldwell@example.org,+1-930-468-0219x3139,Ryanview,RI,05569,bronze,2109,2021-06-20,True,email_campaign,,True,A001,2026-04-12T08:26:03.363377Z,sms
CUST-5a1028e9-0d49-4301-84de-ef12c6f97649,Richard,Lee,vicki60@example.org,7688066738,New Latashaside,SD,79006,bronze,7309,2022-10-27,True,social,REF-4484,True,A001,2026-02-23T02:24:34.002912Z,email
CUST-5a193250-b37c-48b4-9624-d032e74fb7e7,Kevin,Bray,browntiffany@example.net,(299)619-3977x42412,West Joshuaside,AL,65870,bronze,10120,2022-06-29,True,paid_search,,True,A001,2026-02-14T10:08:57.983605Z,email
CUST-8fc9b25c-2612-49b5-82b4-3e4e672d75b4,Logan,Hall,amy61@example.org,+1-579-444-7112x22067,Brandyton,CO,62045,bronze,9633,2023-06-27,True,organic,REF-0009,True,A001,2026-04-15T11:32:40.298387Z,phone
CUST-b93d633c-e0a9-48e5-ad9f-d2bb863df8b5,Matthew,Rodriguez,sherry27@example.net,(559)900-0130,Alexandraland,ND,19449,bronze,8080,2025-05-15,True,email_campaign,,False,A001,2026-03-19T08:00:18.733291Z,email
CUST-e79541b3-2a7f-482e-a3fd-2fff234e95d5,Laura,Higgins,troy00@example.com,953-621-0165,Davilatown,NC,10190,bronze,4307,2024-07-19,True,organic,,True,A001,2026-04-26T17:12:22.394482Z,phone
CUST-416ce5e6-afd6-4001-bb32-2bc678ca9b0c,Bob,Ellis,brian60@example.org,8618616001,Smithland,RI,13182,bronze,2397,2021-06-12,True,paid_search,,True,S002,2026-04-08T07:21:16.677121Z,email
CUST-c5e252db-9ba3-45df-bf29-d80ebfc47cf4,Christopher,Stanley,gary61@example.org,333.584.2893,Walterside,MN,63957,silver,3722,2023-12-09,False,organic,,True,A001,2026-04-02T00:17:56.466454Z,email
CUST-5f6c80f5-3611-4cf8-aa79-3b1b7442e202,Tammy,Jones,fgarcia@example.org,8636756815,Edwardsborough,ME,05226,bronze,5990,2025-01-18,True,organic,,True,A001,2026-04-01T08:06:26.993364Z,phone
CUST-650e01a4-cc28-44a2-a172-043efb50d6e9,Kathleen,Roberts,desiree10@example.net,001-788-816-9291x728,South Amy,KS,36754,bronze,2122,2025-07-12,True,email_campaign,,True,A001,2026-02-11T12:35:35.130018Z,phone
CUST-b7225656-f7d0-40b0-ac26-eb84c3a640da,Kim,Cole,nwalters@example.org,487.328.1981x830,Hectorview,WY,86084,platinum,6659,2025-02-14,True,paid_search,,True,A001,2026-04-11T01:00:38.282135Z,email
CUST-1d0c7f56-ce22-40d8-8380-ac575532fc43,Edwin,Schwartz,brian31@example.net,001-597-650-5652x0809,Lake Timothychester,AL,29460,bronze,9247,2026-02-14,True,social,,False,A001,2026-04-24T17:39:59.210641Z,phone
CUST-4f133b6a-5424-4f74-bb99-ba5c5136356b,Harold,Taylor,aliciaschmidt@example.com,(504)868-2275x994,Jessicamouth,MP,02778,silver,1692,2024-03-07,True,social,,True,S002,2026-02-22T23:56:38.407018Z,sms
CUST-44de10fa-c350-401b-8692-71749912bde3,Perry,Greene,garciajennifer@example.net,808-485-4559x248,Ashleymouth,AR,98640,bronze,7889,2022-04-25,True,paid_search,,True,S002,2026-03-24T14:40:55.456461Z,email
CUST-52b7219b-d0d9-475d-bf30-e5b17b520fc7,Brandi,Solis,rchandler@example.org,2079837653,Lake Josephshire,LA,46302,bronze,1927,2024-11-12,True,paid_search,,True,D003,2026-04-01T22:34:21.522511Z,phone
CUST-6a862ae2-a194-420e-9dcf-fff7b72f54b6,Gregory,Keller,lindsey13@example.net,338.857.4540,Lake Meghanberg,MS,12237,silver,11144,2021-05-05,True,paid_search,,True,S002,2026-04-18T09:58:32.268755Z,sms
CUST-94d827e0-d1e3-489d-98e4-09a0fe68a239,Theresa,Webb,frederickdana@example.com,(728)424-0783x310,New Meghan,SC,81616,bronze,1136,2024-08-29,True,referral,,False,A001,2026-02-13T01:59:00.419239Z,email
CUST-daddfbfc-2a5b-44b4-b22f-e2e8cd01a0f4,Patrick,Howard,shane08@example.org,(455)205-6088x7494,Barrmouth,FL,13984,bronze,5348,2025-02-26,True,paid_search,,True,A001,2026-02-25T07:45:46.555533Z,phone
CUST-06976dc8-d626-4f39-aacd-ebe88fce9a4f,Daniel,Juarez,michael24@example.net,9682087526,North Benjamin,DC,58872,silver,9369,2023-03-06,True,organic,,False,A001,2026-02-21T02:10:16.315840Z,phone
