order_id,customer_id,email_snapshot,order_date,status,payment_method,declared_total,currency,source_system,ingested_at,billing_address,shipping_address,promo_code,session_id,ip_address,raw_status_code,user_agent
ORD-4d791f56-c6f3-4c67-9b53-0078b73fd05c,CUST-a1a79822-9e1b-43f0-a2e1-4f16b2f77d53,kruegermeghan@example.com,2025-05-04,shipped,credit_card,8688.78,USD,pos,2026-04-28T11:21:28.447019Z,"191 Jones Ways, East Timothy, NM 55075","USS Ellis, FPO AE 90534",,a77849c9-b4bd-449c-8a01-cf5b915cb31a,14.79.107.19,ORD_001,Opera/8.97.(Windows NT 6.1; kok-IN) Presto/2.9.171 Version/12.00
ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,CUST-408121fc-8d42-4a71-8ccd-2230d3a75434,allen04@example.com,2024-10-27,pending,credit_card,3682.02,USD,mobile_ios,2026-04-28T11:21:28.450706Z,"53848 Horn Roads Apt. 678, Williammouth, OK 09357","505 Michelle Plains, Turnerhaven, KY 49836",,c17968e5-cf37-456e-84e2-e4da6b1d6ede,40.193.242.231,ORD_003,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/54.0.841.0 Safari/535.0"
ORD-8775bffc-fe97-48fa-a40e-199cf203744d,CUST-a1a79822-9e1b-43f0-a2e1-4f16b2f77d53,kruegermeghan@example.com,2025-12-19,delivered,credit_card,2806.87,USD,pos,2026-04-28T11:21:28.451069Z,"57010 Cox Fork, North Dustinmouth, MS 46169","691 Keller Point Apt. 697, West Michael, MD 72031",,5c69a643-8463-4810-82e7-5b6b85b0c1e6,8.174.201.197,ORD_003,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1)
ORD-02687b4b-b36a-4c46-986b-2ee088809a2f,CUST-bd46604e-447a-414d-8dff-94189e804112,imoreno@example.net,2024-09-08,confirmed,paypal,1954.79,USD,pos,2026-04-28T11:21:28.451382Z,"7475 Munoz Harbor Suite 800, Bakerborough, PR 94870","723 Lewis Glen, Port Maxwellland, MN 33790",,307c8ad3-9a06-4705-984e-173215ca56ad,72.33.84.141,ORD_001,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.22.4 (KHTML, like Gecko) Version/5.1 Safari/535.22.4"
ORD-4f38d849-d81f-4f30-ab1c-beb9bdba7d25,CUST-34b854a5-5461-4fda-ba60-7dd669d165e7,jjohnson@example.com,2025-03-27,delivered,credit_card,248.42,USD,pos,2026-04-28T11:21:28.451667Z,"Unit 0577 Box 9083, DPO AP 37090","3453 Leon Throughway Apt. 034, West Hunterfort, ND 25061",,aedf31ed-1ef8-40d3-a6ab-8d4d7da5ecb7,143.137.191.232,ORD_003,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/533.46.1 (KHTML, like Gecko) Version/5.1 Safari/533.46.1"
ORD-582e7789-1d1b-401a-bc9e-1776ef2cdc45,CUST-34b854a5-5461-4fda-ba60-7dd669d165e7,jjohnson@example.com,2025-06-24,confirmed,credit_card,38.72,USD,pos,2026-04-28T11:21:28.451894Z,"52057 Rodriguez Lock, Lake Meredithton, KS 80751","5523 Weber Prairie, West Laurenberg, IN 83405",,363bbf31-4f1d-423e-bdc1-92c7252deb86,85.3.111.237,ORD_001,Mozilla/5.0 (Windows 95; os-RU; rv:1.9.1.20) Gecko/9967-04-03 06:53:51.905121 Firefox/3.8
ORD-4d9f73a9-2d5e-4e27-a7d5-10a00688f30b,CUST-GHOST-001,fchapman@example.com,2025-05-14,confirmed,credit_card,411.4,USD,pos,2026-04-28T11:21:28.452210Z,"426 Hunter Canyon, West Jeffrey, WY 86767","30360 Gates Stream, Justinfort, MD 27927",PROMO-1597,c9a96b57-82fd-4da2-9134-5ff1e91db9cf,53.198.212.212,ORD_002,Opera/8.55.(X11; Linux i686; brx-IN) Presto/2.9.181 Version/10.00
ORD-f2344a27-2aec-43ef-8fc4-a408ffe9fa46,CUST-69a34cdf-5856-4f55-8b42-1a63da0b2e81,robert71@example.org,2024-10-28,delivered,debit_card,788.08,USD,mobile_android,2026-04-28T11:21:28.452489Z,"389 Anthony Mountains Apt. 589, Briannafurt, WA 27720","598 Shepard Estates Apt. 628, Jordanmouth, WV 72363",,9c4945a6-688e-407c-8300-8eb58a2409a2,133.166.125.4,ORD_002,Opera/9.73.(Windows 95; eu-ES) Presto/2.9.168 Version/11.00
ORD-36b4eecd-21bb-4019-a4f5-9b3c4b0f4867,CUST-e43108ff-2231-4afb-bd71-2341fb49dcf1,amelendez@example.net,2024-12-31,shipped,debit_card,728.91,USD,web,2026-04-28T11:21:28.452675Z,"8687 Walters Stravenue, East Cheryl, WA 76001","056 Hernandez Meadow, Lisafurt, TX 83584",,35781fdc-3c2f-4ea0-9457-a7b09fd890fa,173.246.15.20,ORD_002,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.23.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.23.2"
ORD-cdd28d72-a238-4a0f-8d98-080c12393bcf,CUST-a0079603-04cc-4c45-af45-86df2a68e092,fhammond@example.org,2025-01-04,delivered,debit_card,857.51,USD,pos,2026-04-28T11:21:28.452967Z,"5940 Jared Vista Apt. 105, Lake Lee, DC 57590","820 Jonathan Knoll, Hancockshire, MS 08475",PROMO-9973,9ffb1d68-034f-40a3-8eca-56f7d91d6246,114.39.224.151,ORD_005,Mozilla/5.0 (Windows NT 5.2; fr-CH; rv:1.9.0.20) Gecko/5576-08-12 06:52:10.111908 Firefox/3.8
ORD-7e443d17-26bb-4c42-8660-00374a6abc26,CUST-06a68a63-a8ff-44b1-8b64-57a542ae363a,stewartmark@example.com,2025-09-17,delivered,gift_card,81.15,USD,mobile_ios,2026-04-28T11:21:28.453270Z,"815 Osborne Trafficway Suite 485, Thompsonfort, MS 75904","72077 Bryan Garden Apt. 048, Lake Paul, NM 93381",,444a3fdd-1e0b-46f7-a5ab-e4e4301eac14,195.127.68.45,ORD_004,Opera/8.53.(X11; Linux x86_64; mr-IN) Presto/2.9.162 Version/11.00
ORD-0970b9b2-f965-4847-957f-0977c6a7a212,CUST-5a3f2f63-70fb-4ed4-afa3-815d686450e4,pmiller@example.com,2026-03-10,shipped,paypal,1226.35,USD,pos,2026-04-28T11:21:28.453528Z,"9356 Willie Shoals, Lake Zoe, KY 99064","51911 Elizabeth Mountains Suite 547, South Candaceshire, OR 17368",,0662b4b0-82ed-4ecc-a8d1-a82ac237ae1c,23.67.168.235,ORD_005,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/63.0.815.0 Safari/534.0"
