order_id,customer_id,email_snapshot,order_date,status,payment_method,declared_total,currency,source_system,ingested_at,billing_address,shipping_address,promo_code,session_id,ip_address,raw_status_code,user_agent,delivery_window,gift_message
ORD-183e06f6-a49f-4910-9604-fcf19a14fa76,CUST-adb34c35-aea4-483b-8136-e9680955bf8b,morenothomas@example.com,2025-06-26,delivered,paypal,1621.17,USD,mobile_android,2026-04-28T11:21:34.541702Z,"267 Amanda Turnpike, South Kellyside, OH 90893","879 Jennifer Street, Lake Mollyborough, VI 21951",PROMO-3414,78f9be09-18e4-466c-98ac-a64320624f16,72.112.198.25,ORD_005,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.31.1 (KHTML, like Gecko) Version/4.0 Safari/532.31.1",2-3 days,False
ORD-04f71ce8-2e8e-4943-82b7-aec216f57126,CUST-GHOST-001,astewart@example.net,2025-07-26,delivered,debit_card,2921.42,USD,mobile_android,2026-04-28T11:21:34.545413Z,"181 Gregory Ville, Robertland, AR 06173","Unit 3614 Box 8408, DPO AP 25564",,d3fec7ce-11ed-437a-9538-40a693644754,4.231.51.194,ORD_003,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.1),3-5 days,False
ORD-25ac60d5-53db-4f89-a0b6-5e672543541e,CUST-2cf18d62-59e3-432e-8a10-ef26dd824780,normanjill@example.net,2025-07-23,delivered,debit_card,185.32,USD,mobile_ios,2026-04-28T11:21:34.545789Z,"286 Perez Mall Apt. 219, Danielville, MS 16294","802 Shelley Falls, Meghantown, MO 83973",,84ff926a-963f-46b6-b571-0a6de665c50a,78.200.197.121,ORD_004,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/4473-02-22 05:39:39.721069 Firefox/3.8,3-5 days,True
ORD-9e0c3522-5832-494f-af1c-94e82168fb13,CUST-1f599d28-0663-4258-b182-2c2e86b327a5,lruiz@example.org,2025-02-16,confirmed,bank_transfer,1935.5,USD,mobile_android,2026-04-28T11:21:34.546147Z,"8862 Johns Path Suite 229, West Linda, RI 69333","33775 Moore Underpass Apt. 839, South Brookeville, CO 53578",,3f09ec4c-70ce-4d41-84c7-5f83b25e8bfc,180.56.221.37,ORD_005,"Mozilla/5.0 (iPad; CPU iPad OS 12_5_7 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/51.0.824.0 Mobile/11L346 Safari/533.1",1-2 days,False
ORD-8e7d9671-da90-4f42-97e1-148842ee4b7e,CUST-10984f40-df63-492e-93c1-e5867cff3fee,gomezjacob@example.org,2024-06-18,delivered,debit_card,1418.49,USD,mobile_ios,2026-04-28T11:21:34.546477Z,"748 Banks Roads, Andersonmouth, MP 47671","481 Phillip Divide Apt. 797, Jesusfort, LA 94592",,45f9de4d-169d-424c-bcc3-2aa909757159,78.12.47.223,ORD_002,Opera/8.50.(Windows NT 4.0; fr-CH) Presto/2.9.170 Version/12.00,1-2 days,False
ORD-5cb4dbcb-5b47-4a46-828e-4376ca4a81d5,CUST-fe5256e1-3fe8-4bb2-a1f6-989d6c4b2b7f,tylerwatson@example.org,2025-08-12,delivered,debit_card,276.33,USD,mobile_ios,2026-04-28T11:21:34.546769Z,"5201 Pena Hollow Apt. 342, Adrianfurt, NY 67793","714 Stephanie Crossing, Katieburgh, MH 79122",,da335191-6a45-486c-9be2-195d98600495,142.164.219.155,ORD_004,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/56.0.892.0 Mobile/06V950 Safari/536.2",3-5 days,False
ORD-9d16e59b-9c0f-4aa1-a828-753b5dff7a00,CUST-27622a4c-c6c7-43f9-b432-5d3162515944,kwise@example.com,2024-08-11,delivered,credit_card,870.48,USD,web,2026-04-28T11:21:34.547032Z,"6231 Lopez Greens, Billchester, WA 18069","967 Barrett Keys, Lake Carolynfurt, PA 86945",,d0fca1fa-6e0d-412d-8998-c7066e42aeb2,189.83.142.99,ORD_002,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_9 rv:3.0; crh-UA) AppleWebKit/534.7.1 (KHTML, like Gecko) Version/5.0 Safari/534.7.1",3-5 days,False
ORD-ff69eed4-d440-4ece-a25f-24e29b6ac629,CUST-93196a74-4cbe-4765-a502-3c7134eb4be3,deborah81@example.net,2024-10-06,delivered,bank_transfer,1980.89,USD,mobile_ios,2026-04-28T11:21:34.547306Z,"841 Margaret Village, Lewisshire, OR 38487","19804 Ayala Creek Suite 666, Colemanberg, AS 44294",,c9f01fd5-d382-4b4d-9f86-52be74d35fde,73.159.255.237,ORD_003,"Mozilla/5.0 (Linux; Android 2.3.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/17.0.817.0 Safari/533.2",1-2 days,False
ORD-fee1ef62-a527-4c38-a3bc-5dbf323175b4,CUST-cb8fb027-6071-4741-8803-e590777948b2,lauren67@example.net,2025-05-03,delivered,debit_card,329.44,USD,mobile_ios,2026-04-28T11:21:34.547600Z,"1549 Christopher Spurs Apt. 199, East Dianatown, MN 35981","150 Taylor Cliff Apt. 398, West Destiny, AR 10787",PROMO-5127,cf164215-4772-49c7-a1e4-f0981d671493,123.129.44.130,ORD_003,Mozilla/5.0 (Android 2.3.2; Mobile; rv:6.0) Gecko/6.0 Firefox/6.0,2-3 days,False
ORD-65e2b1fb-1610-4435-863e-f15e512e8eeb,CUST-dbca3c2b-e001-4009-a395-a6b4a5706728,justin89@example.net,2024-07-02,cancelled,credit_card,1152.96,USD,mobile_ios,2026-04-28T11:21:34.547983Z,"32849 Caroline Roads Suite 848, Gonzalezburgh, LA 97709","49454 Pierce Harbors Suite 825, Port Kristen, OK 38618",PROMO-4292,9ddc3947-a890-4b2e-bed3-0e81c8f98361,213.205.199.213,ORD_005,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.6.7 (KHTML, like Gecko) Version/4.0.5 Safari/531.6.7",1-2 days,False
ORD-2a6c6402-53cb-4872-aa20-c125f33d4dd1,CUST-9f15a57e-1c6d-41c1-855e-2e314eb711db,sara82@example.net,2024-10-12,shipped,gift_card,5210.35,USD,pos,2026-04-28T11:21:34.548175Z,"2793 Villarreal Mountain Suite 764, Tracychester, DC 33848","7773 Marvin Locks, Johnville, LA 61105",,077b8559-363b-4a26-b49b-0887905a0cba,110.45.28.135,ORD_001,Opera/9.70.(Windows NT 5.0; or-IN) Presto/2.9.162 Version/11.00,1-2 days,True
ORD-e98fa3ef-020a-4d9b-bafe-515e2793d670,CUST-991ab221-bd37-4149-83ec-01dee2811ad4,ywest@example.net,2024-09-24,delivered,credit_card,2081.54,USD,web,2026-04-28T11:21:34.548485Z,"7951 Harding Mills Suite 844, South Lindaville, GA 65165","PSC 9571, Box 9326, APO AE 46253",,efa45dbd-4289-46f7-b593-578020253f53,220.71.202.110,ORD_005,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/35.0.879.0 Safari/536.2",3-5 days,False
